bNum,geneName,replicate,genotype,time,intensity,batch
b0116,lpd,B,wt,0,4124.794346404345,long
b0116,lpd,B,wt,90,2684.863344651356,long
b0116,lpd,B,wt,120,1645.7639792239822,long
b0116,lpd,B,wt,180,1519.376012711102,long
b0116,lpd,B,wt,240,1126.5375857031247,long
b0116,lpd,B,wt,300,1365.7087108987705,long
b0116,lpd,C,wt,0,3210.006702854551,long
b0116,lpd,C,wt,90,1969.8188026555304,long
b0116,lpd,C,wt,120,1650.5129637818202,long
b0116,lpd,C,wt,180,1392.6911440119795,long
b0116,lpd,C,wt,240,1533.2231481964957,long
b0116,lpd,C,wt,300,1593.6526941391053,long
b0116,lpd,D,wt,0,3341.9158625226473,long
b0116,lpd,D,wt,90,1704.5743577056605,long
b0116,lpd,D,wt,120,1346.3215712216504,long
b0116,lpd,D,wt,180,1102.3723728763314,long
b0116,lpd,D,wt,240,791.5813344688673,long
b0116,lpd,D,wt,300,1363.2175985412466,long
b0116,lpd,E,wt,0,3849.72885539498,short
b0116,lpd,E,wt,30,2438.258313234495,short
b0116,lpd,E,wt,60,1965.4394176221338,short
b0116,lpd,E,wt,90,2043.188337489123,short
b0116,lpd,E,wt,120,2699.2092566336014,short
b0116,lpd,E,wt,150,1501.9665634030605,short
b0116,lpd,F,wt,0,5338.809581329058,short
b0116,lpd,F,wt,30,3512.468398771763,short
b0116,lpd,F,wt,60,2424.896879130753,short
b0116,lpd,F,wt,90,1520.6642607110186,short
b0116,lpd,F,wt,120,2439.0965061281813,short
b0116,lpd,F,wt,150,1926.195144014273,short
b0116,lpd,G,wt,0,3657.1403561796837,short
b0116,lpd,G,wt,30,2783.8064866709965,short
b0116,lpd,G,wt,60,1807.4645145047118,short
b0116,lpd,G,wt,90,2265.406757081541,short
b0116,lpd,G,wt,120,2028.1666073594602,short
b0116,lpd,G,wt,150,1663.8100937869156,short
b0117,yacH,A,wt,0,15.438694435234728,long
b0117,yacH,A,wt,90,21.19645175951004,long
b0117,yacH,A,wt,120,31.0480860916137,long
b0117,yacH,A,wt,180,26.02608136493055,long
b0117,yacH,A,wt,240,37.846227687025966,long
b0117,yacH,A,wt,300,27.882510228478015,long
b0117,yacH,B,wt,0,21.221000833637163,long
b0117,yacH,B,wt,90,18.695807730108854,long
b0117,yacH,B,wt,120,25.5205564600476,long
b0117,yacH,B,wt,180,28.101484307693816,long
b0117,yacH,B,wt,240,24.631518051270618,long
b0117,yacH,B,wt,300,25.545599701458176,long
b0117,yacH,C,wt,0,25.697585100215406,long
b0117,yacH,C,wt,90,14.380651502218324,long
b0117,yacH,C,wt,120,24.968958832693872,long
b0117,yacH,C,wt,180,30.863150808902198,long
b0117,yacH,C,wt,240,16.608108037811267,long
b0117,yacH,C,wt,300,22.44231760324309,long
b0117,yacH,D,wt,0,22.35285283929108,long
b0117,yacH,D,wt,90,20.41566907436167,long
b0117,yacH,D,wt,120,18.88632543418404,long
b0117,yacH,D,wt,180,28.056568490542748,long
b0117,yacH,D,wt,240,27.222457749289607,long
b0117,yacH,D,wt,300,19.784477916440213,long
b0117,yacH,E,wt,0,22.251167299283377,short
b0117,yacH,E,wt,30,33.994073954214386,short
b0117,yacH,E,wt,60,25.148239215766278,short
b0117,yacH,E,wt,90,13.126176680796098,short
b0117,yacH,E,wt,120,27.87551604056799,short
b0117,yacH,E,wt,150,20.60483699542279,short
b0117,yacH,F,wt,0,12.160001270640143,short
b0117,yacH,F,wt,30,29.50219273829717,short
b0117,yacH,F,wt,60,35.53714304442062,short
b0117,yacH,F,wt,90,6.2180779217524975,short
b0117,yacH,F,wt,120,30.60425669074055,short
b0117,yacH,F,wt,150,10.780564539765788,short
b0117,yacH,G,wt,0,15.613209571984045,short
b0117,yacH,G,wt,30,43.34320814521199,short
b0117,yacH,G,wt,60,42.58431445830857,short
b0117,yacH,G,wt,90,33.58968055047557,short
b0117,yacH,G,wt,120,26.06375320291116,short
b0117,yacH,G,wt,150,18.907408910718324,short
b0118,acnB,A,wt,0,1175.8878627624183,long
b0118,acnB,A,wt,90,2932.890682739368,long
b0118,acnB,A,wt,120,3478.546043943981,long
b0118,acnB,A,wt,180,1416.144479727085,long
b0118,acnB,A,wt,240,913.5459310903332,long
b0118,acnB,A,wt,300,993.1789498443363,long
b0118,acnB,B,wt,0,848.4878335134271,long
b0118,acnB,B,wt,90,2051.2837186902925,long
b0118,acnB,B,wt,120,2518.5732086978314,long
b0118,acnB,B,wt,180,1434.553179079434,long
b0118,acnB,B,wt,240,1218.8946123863043,long
b0118,acnB,B,wt,300,1260.4352002394535,long
b0118,acnB,C,wt,0,884.4282863032611,long
b0118,acnB,C,wt,90,1492.1585910304366,long
b0118,acnB,C,wt,120,1770.9241092023728,long
b0118,acnB,C,wt,180,1417.2117314149298,long
b0118,acnB,C,wt,240,1164.9289789819984,long
b0118,acnB,C,wt,300,1114.0491258396503,long
b0118,acnB,D,wt,0,1109.7359769982984,long
b0118,acnB,D,wt,90,1890.8299509991969,long
b0118,acnB,D,wt,120,1951.9533463570872,long
b0118,acnB,D,wt,180,1338.970305886774,long
b0118,acnB,D,wt,240,796.6258859519485,long
b0118,acnB,D,wt,300,803.7718632915573,long
b0118,acnB,E,wt,0,2063.817188571095,short
b0118,acnB,E,wt,30,1996.3291375384383,short
