bNum,name,entrez_GeneID,padj_sp,padj_osmo,padj_cold,sig_sp,sig_osmo,sig_cold
b0181,lpxA,GeneID:944849,0.5139387254433835,0.5288356643460518,0.9232013811628703,FALSE,FALSE,FALSE
b0182,lpxB,GeneID:944838,0.33156093819532856,0.11550550089787699,1,FALSE,FALSE,FALSE
b0183,rnhB,GeneID:944852,0.3951043895306054,0.8073542911614707,1,FALSE,FALSE,FALSE
b0184,dnaE,GeneID:944877,0.9025097086564651,0.8907671625778345,0.9886027394629481,FALSE,FALSE,FALSE
b0185,accA,GeneID:944895,0.04361572255570518,0.2756719042810149,1,FALSE,FALSE,FALSE
b0186,ldcC,GeneID:944887,1.3855317268597614e-12,7.080391092665447e-5,7.417750023699575e-7,TRUE,TRUE,TRUE
b0187,yaeR,GeneID:944875,0.07299178509487744,0.006741874449627791,1.3121265353743176e-4,FALSE,TRUE,TRUE
b0188,tilS,GeneID:944889,0.8721111871780424,0.13595758720603898,1,FALSE,FALSE,FALSE
b0189,rof,GeneID:944891,0.5009604468317442,0.08882865431838112,1,FALSE,FALSE,FALSE
b4406,yaeP,GeneID:1450233,0.3272631359035283,0.6127953501147982,0.8418331166946456,FALSE,FALSE,FALSE
b0190,yaeQ,GeneID:946809,0.022495991990267226,0.9797275134682005,1,FALSE,FALSE,FALSE
b0191,arfB,GeneID:946046,0.25713506511695233,0.49141393856093946,0.4406406925891696,FALSE,FALSE,FALSE
b0192,nlpE,GeneID:946782,4.326693949515614e-4,0.0011764556211432838,1,TRUE,TRUE,FALSE
b0193,yaeF,GeneID:944892,1.6295182245842724e-6,0.22597044563606686,1,TRUE,FALSE,FALSE
b0194,proS,GeneID:949116,0.15376765926893882,0.8565597579888339,1,FALSE,FALSE,FALSE
b0195,trmO,GeneID:949112,8.070163425914217e-4,0.004653244945795421,0.1843055570242675,TRUE,TRUE,FALSE
b0196,rcsF,GeneID:949113,3.841528798447926e-6,0.5596563927620423,1,TRUE,FALSE,FALSE
b0197,metQ,GeneID:944893,0.024587788608716205,0.5694938196132152,1,FALSE,FALSE,FALSE
b0198,metI,GeneID:944894,0.25228336154942027,0.9299654436672256,1,FALSE,FALSE,FALSE
b0201,rrsH,GeneID:944897,0.962033023562718,0.9587854036359547,1,FALSE,FALSE,FALSE
b0202,ileV,GeneID:944884,0.6942573328158196,0.41609551250573695,0.8592065579878355,FALSE,FALSE,FALSE
b0203,alaV,GeneID:944890,0.2635048358886448,0.24343206610687834,1,FALSE,FALSE,FALSE
b0204,rrlH,GeneID:944900,0.9985456769944633,0.8397804590815799,1,FALSE,FALSE,FALSE
b0205,rrfH,GeneID:944898,0.9483586257911486,NA,0.8935889779286574,FALSE,NA,FALSE
b0206,aspU,GeneID:944880,0.26314320313138007,0.7036961341446006,1,FALSE,FALSE,FALSE
b0207,dkgB,GeneID:944901,0.039816874962919545,0.8597260643531887,1,FALSE,FALSE,FALSE
b0208,yafC,GeneID:947507,0.49070723428286434,0.776986982637779,1,FALSE,FALSE,FALSE
b0209,yafD,GeneID:946286,0.9060339330426981,0.8691187408873947,1,FALSE,FALSE,FALSE
b0210,yafE,GeneID:946197,0.8461973891390876,0.10826538987947541,0.9182238415036453,FALSE,FALSE,FALSE
b0211,mltD,GeneID:945694,2.175726947909065e-6,0.002023865146851849,1,TRUE,TRUE,FALSE
b0212,gloB,GeneID:944902,0.15824589381386364,0.008939746715974233,0.6057953254605436,FALSE,TRUE,FALSE
b0213,yafS,GeneID:944903,7.043689838835479e-5,0.33338569047207106,1,TRUE,FALSE,FALSE
b0214,rnhA,GeneID:946955,3.8185968720434304e-4,0.34809759537416357,1,TRUE,FALSE,FALSE
b0215,dnaQ,GeneID:946441,0.9215844637085499,0.9639003099345307,0.7684336685431736,FALSE,FALSE,FALSE
b0216,aspV,GeneID:947541,0.2685384157898851,0.8431680468197533,0.802414490836659,FALSE,FALSE,FALSE
b0217,yafT,GeneID:949009,0.09995795765727523,0.10164813752833848,1,FALSE,FALSE,FALSE
b0219,yafV,GeneID:946585,0.0845174938291215,0.23267540213978607,0.007154806944159543,FALSE,FALSE,TRUE
b0220,ivy,GeneID:946530,8.74885908819736e-13,0.339648772466466,4.666444308603807e-13,TRUE,FALSE,TRUE
b0221,fadE,GeneID:949007,0.00503326866232731,0.027853003784290477,1,TRUE,FALSE,FALSE
b0222,gmhA,GeneID:949134,1.5195433784096726e-11,0.6379685316069792,1,TRUE,FALSE,FALSE
b0223,yafJ,GeneID:944906,0.0016025289232589866,0.913335193038144,1,TRUE,FALSE,FALSE
b0224,dpaA,GeneID:944910,0.3034287787821383,0.009041492452656074,1,FALSE,TRUE,FALSE
b0225,yafQ,GeneID:944911,0.4555775970344047,0.05617715246844581,1,FALSE,FALSE,FALSE
b0226,dinJ,GeneID:944914,0.07617153516768277,0.010643780579128511,0.31957350653816247,FALSE,FALSE,FALSE
b0227,yafL,GeneID:944899,0.011841212838480246,0.11510300191988032,0.9143042483503735,FALSE,FALSE,FALSE
b0228,rayT,GeneID:944913,0.00323025144137597,0.3121616204827837,1,TRUE,FALSE,FALSE
b0231,dinB,GeneID:944922,0.986780290927984,1.0118119651131443e-4,1,FALSE,TRUE,FALSE
b0232,yafN,GeneID:944920,0.20616281349278814,0.0029111725996195186,1,FALSE,TRUE,FALSE
b0233,yafO,GeneID:944916,0.051162126293914326,0.43719111705420616,1,FALSE,FALSE,FALSE
b0234,yafP,GeneID:944912,0.040891317310718066,0.034143383089276697,1,FALSE,FALSE,FALSE
b0237,pepD,GeneID:945013,0.024860869338168393,0.005010584489606291,1,FALSE,TRUE,FALSE
b0238,gpt,GeneID:944817,0.9559257584416019,0.07961318937769007,1,FALSE,FALSE,FALSE
b0239,frsA,GeneID:946039,0.7917584061609134,0.9843747606442935,1,FALSE,FALSE,FALSE
b0241,phoE,GeneID:944926,0.35042673564473087,0.028634888180357705,1,FALSE,FALSE,FALSE
b0242,proB,GeneID:946425,0.13616200377843676,0.24360013783062065,1,FALSE,FALSE,FALSE
b0243,proA,GeneID:946680,0.9689362177559288,0.8586593036928895,1,FALSE,FALSE,FALSE
b0244,thrW,GeneID:947202,0.812198294560179,0.17748445755233624,1,FALSE,FALSE,FALSE
b0245,ykfI,GeneID:946726,0.4179620192276454,NA,1,FALSE,NA,FALSE
b0250,ykfB,GeneID:946846,0.5169166333233997,0.82111648144075,0.8776082194126348,FALSE,FALSE,FALSE
b0251,yafY,GeneID:944934,0.07099932922653479,NA,1,FALSE,NA,FALSE
b0253,ykfA,GeneID:949004,0.9881744534657798,0.7629873356192765,0.18350466793157258,FALSE,FALSE,FALSE
b0254,perR,GeneID:945417,0.423318042084177,0.254959728754472,1,FALSE,FALSE,FALSE
b0256,insI1,GeneID:949005,0.41009604419036483,0.8657357499976647,1,FALSE,FALSE,FALSE
b0258,ykfC,GeneID:944940,0.5703236885397387,0.9581868366162631,1,FALSE,FALSE,FALSE
b0259,insH1,GeneID:944941,0.8799013326050535,NA,1,FALSE,NA,FALSE
b0260,mmuP,GeneID:946284,0.1430078102630243,NA,1,FALSE,NA,FALSE
b0261,mmuM,GeneID:946143,0.09318319921663365,0.3389254235984921,0.3288789503387801,FALSE,FALSE,FALSE
b0262,afuC,GeneID:947676,0.5834452631046367,NA,1,FALSE,NA,FALSE
b0264,insB2,GeneID:947698,0.9949753512581632,NA,1,FALSE,NA,FALSE
b0265,insA2,GeneID:944946,0.4636118021038555,0.39538482716500417,1,FALSE,FALSE,FALSE
b0266,yagB,GeneID:944944,0.06989105105598721,0.5840662340330615,1,FALSE,FALSE,FALSE
b0267,yagA,GeneID:944937,0.15376765926893882,NA,0.3521290473903736,FALSE,NA,FALSE
b0268,yagE,GeneID:944925,0.29353678546292405,0.3055197586231764,1,FALSE,FALSE,FALSE
b0269,yagF,GeneID:944928,0.04754576055833769,0.017813750163485662,1,FALSE,FALSE,FALSE
b0270,yagG,GeneID:944947,0.321710632379184,0.8276948671452559,1,FALSE,FALSE,FALSE
b0271,yagH,GeneID:944949,0.046108331308270786,0.38861770227483344,1,FALSE,FALSE,FALSE
b0272,xynR,GeneID:945016,3.211514361380699e-5,0.12924118201745335,1,TRUE,FALSE,FALSE
b0273,argF,GeneID:944844,0.19423725807626224,0.12952609654421798,0.6676764765952501,FALSE,FALSE,FALSE
b0276,yagJ,GeneID:949094,2.0563332897133697e-5,0.34237561838214875,1,TRUE,FALSE,FALSE
b0277,yagK,GeneID:945847,0.14995531736167425,0.6244204781746444,1,FALSE,FALSE,FALSE
b0278,yagL,GeneID:945845,0.0115763302241933,0.629959391492394,1,FALSE,FALSE,FALSE
b0279,yagM,GeneID:944959,0.16163008831590564,0.5602671658236621,1,FALSE,FALSE,FALSE
b0280,yagN,GeneID:945349,1.5966991365549038e-4,0.1776581046157516,1,TRUE,FALSE,FALSE
b0281,intF,GeneID:947351,0.6490283891961541,0.988235997900342,1,FALSE,FALSE,FALSE
b0282,yagP,GeneID:947411,0.8008557937649734,NA,0.9091634337012949,FALSE,NA,FALSE
b0283,paoD,GeneID:945010,0.1780304357841682,NA,0.9024901934433449,FALSE,NA,FALSE
b0284,paoC,GeneID:944961,0.0509786949524892,0.509242501538241,0.9988397882414046,FALSE,FALSE,FALSE
b0285,paoB,GeneID:945710,9.05512413216602e-5,NA,1,TRUE,NA,FALSE
