bNum,name,entrez_GeneID,padj_sp,padj_osmo,padj_cold,sig_sp,sig_osmo,sig_cold,onset_sp,onset_osmo,onset_cold
b1038,csgF,GeneID:945622,0.3490762675274089,NA,0.7771448209718371,FALSE,NA,FALSE,NA,NA,NA
b1039,csgE,GeneID:945711,0.7825507225480959,NA,0.3670320420737111,FALSE,NA,FALSE,NA,NA,NA
b1040,csgD,GeneID:949119,0.1340365913113265,NA,0.00819382172224603,FALSE,NA,TRUE,NA,NA,NA
b1041,csgB,GeneID:947391,0.9002469832566878,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1042,csgA,GeneID:949055,5.080250571615881e-9,0.46397627674397335,0.00133181896438875,TRUE,FALSE,TRUE,214.0696,NA,NA
b1043,csgC,GeneID:945623,0.9948053328947256,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1044,ymdA,GeneID:949012,0.9694843035350296,0.02831014433680772,0.8121424877522019,FALSE,FALSE,FALSE,NA,NA,NA
b1045,ymdB,GeneID:946987,0.00547171704289095,0.19154218061128875,0.4602854559692625,TRUE,FALSE,FALSE,NA,NA,NA
b1046,clsC,GeneID:947321,4.1847845094679885e-5,0.01949820782340725,1,TRUE,FALSE,FALSE,NA,NA,NA
b1047,opgC,GeneID:946944,0.7818062944502958,0.1979408982413466,1,FALSE,FALSE,FALSE,NA,NA,NA
b1048,opgG,GeneID:945005,0.9830329715999486,0.8238487805169067,1,FALSE,FALSE,FALSE,NA,NA,NA
b1049,opgH,GeneID:945624,0.9483586257911486,0.09253735946517117,1,FALSE,FALSE,FALSE,NA,NA,NA
b1050,yceK,GeneID:945613,0.5337060339575302,0.8586593036928895,1,FALSE,FALSE,FALSE,NA,NA,NA
b1051,msyB,GeneID:945612,6.620420568540856e-17,1.901964061682883e-11,5.427301139864675e-43,TRUE,TRUE,TRUE,97.58025,45.28651,217.4492
b1053,mdtG,GeneID:945627,0.4941324432448546,0.42567693285176805,1,FALSE,FALSE,FALSE,NA,NA,NA
b1054,lpxL,GeneID:946216,4.7690283690316463e-4,0.32869153335898105,1,TRUE,FALSE,FALSE,NA,NA,NA
b1055,trhO,GeneID:945601,0.9256432759364712,3.250592519692748e-5,1,FALSE,TRUE,FALSE,NA,NA,NA
b1056,yceI,GeneID:946145,0.01383687940981366,0.7227217351614021,0.34959085785274585,FALSE,FALSE,FALSE,NA,NA,NA
b1057,yceJ,GeneID:945628,0.02888227206704315,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1059,solA,GeneID:944983,5.834553875958202e-4,0.00456747357679429,0.9314773801951894,TRUE,TRUE,FALSE,NA,NA,NA
b1060,bssS,GeneID:946104,0.00831766188460705,0.00282260665260983,0.8813009711794262,TRUE,TRUE,FALSE,NA,11.32258,NA
b1061,dinI,GeneID:945022,0.8163248235006355,0.00100024121228059,1,FALSE,TRUE,FALSE,NA,132.10818,NA
b1062,pyrC,GeneID:945787,0.4076763307767169,0.6153857592449372,1,FALSE,FALSE,FALSE,NA,NA,NA
b1063,yceB,GeneID:947377,0.6113448826182037,0.8463473415328366,1,FALSE,FALSE,FALSE,NA,NA,NA
b1064,grxB,GeneID:946926,0.01783802156521635,0.01865361778101418,1,FALSE,FALSE,FALSE,NA,NA,NA
b1065,mdtH,GeneID:946920,2.560580315095421e-4,NA,1,TRUE,NA,FALSE,NA,NA,NA
b1066,rimJ,GeneID:946910,0.02218594945197514,0.35826251544783966,1,FALSE,FALSE,FALSE,NA,NA,NA
b1067,yceH,GeneID:945633,0.02729283380217594,0.4439502223501536,0.4444792691203746,FALSE,FALSE,FALSE,NA,NA,NA
b1068,yceM,GeneID:945204,0.05421408639556308,0.9161539634220502,1,FALSE,FALSE,FALSE,NA,NA,NA
b1069,murJ,GeneID:945487,0.00544622086344807,0.7087854370054953,1,TRUE,FALSE,FALSE,176.847,NA,NA
b1070,flgN,GeneID:945634,0.07990246799236052,0.32869153335898105,0.8448070997203788,FALSE,FALSE,FALSE,NA,NA,NA
b1071,flgM,GeneID:946684,0.16547108483923992,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1072,flgA,GeneID:946300,0.817332469756097,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1075,flgD,GeneID:945813,0.9625867112041232,NA,0.08936484588945842,FALSE,NA,FALSE,NA,NA,NA
b1076,flgE,GeneID:945636,0.764853977656039,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1077,flgF,GeneID:945639,0.881154447080107,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1078,flgG,GeneID:945647,0.9293788288782338,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1079,flgH,GeneID:946996,0.9999983765053104,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1080,flgI,GeneID:947534,0.9999983765053104,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1081,flgJ,GeneID:947456,0.05713428918403764,NA,0.9228382056473006,FALSE,NA,FALSE,NA,NA,NA
b1082,flgK,GeneID:945648,0.43932729081708577,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1083,flgL,GeneID:945646,0.8964768020581695,NA,0.7929389816932371,FALSE,NA,FALSE,NA,NA,NA
b1084,rne,GeneID:945641,0.00172728039940139,0.4696205480214491,0.3500490536824545,TRUE,FALSE,FALSE,NA,NA,NA
